Date,Location,Renewable Energy (kWh),Non-Renewable Energy (kWh),Energy Cost (USD),Carbon Emissions (Tons),Renewable Efficiency (%)
1/1/2023,New York,10574.12,2768.22,2264.7,3492.26,79.25
1/1/2023,Los Angeles,18202.03,11393.31,5735.05,12907.89,61.5
1/1/2023,Chicago,7048.61,18850.73,4207.39,15615.77,27.22
1/1/2023,Houston,12456.81,3323.53,2091.11,2148.82,78.94
1/1/2023,San Francisco,14233.76,31856.58,4837.05,16889.79,30.88
1/1/2023,Miami,4137.48,9000.86,1842.26,13066.05,31.49
1/1/2023,Seattle,17529.58,11617.76,3799.69,11798.25,60.14
1/1/2023,Denver,3618.4,7909.94,2492.96,9971.23,31.39
1/1/2023,Boston,2632.53,8737.81,1277.32,2753.91,23.15
1/1/2023,Dallas,6910.11,15758.23,1857.46,9475.77,30.48
1/1/2023,Atlanta,8944.74,2034.6,1600.1,718.16,81.47
1/1/2023,Phoenix,12630.25,13069.09,3336.33,11712.18,49.15
1/1/2023,Las Vegas,19748.16,14894.18,7875.03,22270.35,57.01
1/1/2023,San Diego,9672.86,7299.48,3049.34,6506.32,56.99
1/1/2023,Philadelphia,10439.53,9738.81,1686.64,13594.53,51.74
1/2/2023,New York,5054.38,16659.46,5004.22,19941.02,23.28
1/2/2023,Los Angeles,21856.8,9150.04,6746.45,5800.39,70.49
1/2/2023,Chicago,19168.62,5270.22,4374.65,5612.31,78.44
1/2/2023,Houston,4467.9,4087.94,740.44,2868.92,52.22
1/2/2023,San Francisco,3410.01,4464.83,1019.79,2875.26,43.3
1/2/2023,Miami,6271.44,8025.4,2448.67,2641.51,43.87
1/2/2023,Seattle,15709.98,19589.86,8376.1,23939.92,44.5
1/2/2023,Denver,17839.54,5671.3,4341.3,5805.07,75.88
1/2/2023,Boston,9745.06,2382.78,2612.36,1426.35,80.35
1/2/2023,Dallas,6617.09,10539.75,3921.48,8585.04,38.57
1/2/2023,Atlanta,4323.32,9297.52,2901.09,3329.58,31.74
1/2/2023,Phoenix,28351.96,5655.88,8371.28,4338.89,83.37
1/2/2023,Las Vegas,16160.54,4420.3,4650.61,1672.5,78.52
1/2/2023,San Diego,6244.49,16627.35,2251.83,15327.85,27.3
1/2/2023,Philadelphia,9949.86,2124.98,2421.43,1726.18,82.4
1/3/2023,New York,11700.55,4246.73,1954.48,2850.14,73.37
1/3/2023,Los Angeles,1945.63,4604.65,630.13,1868.33,29.7
1/3/2023,Chicago,2518.66,4747.62,1312.75,1981.1,34.66
1/3/2023,Houston,9108.83,7993.45,2128.34,7095.69,53.26
1/3/2023,San Francisco,8584.62,9199.66,3055.17,5778.01,48.27
